핸들,댓글 내용
@user-xq5gy6lo5m,맨날 선크림 발라야 된다고는 하는데 바르면 따갑고 눈시리고 선크림 유목민 여기 있어요!! 너무 써보고 싶어요!
@bellalee5841,"언니믿고 3개일단사봐용
파워지성이라 선크림쓰면 유분폭팔 모공부각이라 일반선크림못쓰고 그나마 맥 코랄 프라이머인데 썬기능있는거쓰고있는데 궁금해서 일단구매해봅니다 선크림30미리3개인데 5만원대면 왠만한 백화점브랜드대비 엄청저렴하네요"
@Ohmying,"자외선이 피부에 안좋다는 사실은 충분히 알고있지만 기초를 바르지 않아도 전혀 땡기지 않는 완전 파워 지성인으로서 선크림을 바르기가 정말 싫어요.. 요즘 발림성 좋고 화장 잘 먹고 번들거리지 않는다해도 저에겐 유분이 많이 올라와서 피부가 답답하고 바로 세안해버리고 싶은 마음이 굴뚝같기에 걍 선크림을 안바르는 처지에 있는데
심톨님이  자신있게 제품 홍보하시는 거 보고 정말 기똥차게 만드셨구나를 느꼈습니닼ㅋㅋㅋㅋㅋㅋㅋ
여름만 돌아오면 제 지성 여드름 피부를 살려주시리라 믿습니다!!!"
@user-wy5jr6mn5r,"썬크림 유목민 울 남편에게
  작년에도 선크림을 5개이상 산사람으로서 ~심톨님 믿고 4개구매요"
@user-rm3nk3rx1y,우연히 영상보고 진정성이 느껴져 홀리듯 구매했어요. 제가 안쓰는 ㅋㅋ 백탁현상이 있는 선크림 남편에게 주고 쓰라고 말만 했는데 미안해져서 넉넉히 주문했어요. 남편도 다 쓰고나면 초록이 또 사달라고 할 것 같아요
@keungkeungi,"생전 첨보는 제형이라 홀린듯이 구매했어요
 선크림자체를 너무 답답해해서 유명한 것도 다써봤지만 가벼운건 가벼운대로 속당김 심하고 보송한건 특유의 버석거림이 싫고 촉촉하다그래서 사면 또 기름올라오고...해서 친해질수 없는 제품이었어요ㅠㅠ그런데 이렇게 신박한 제형이라니 너무 기대됩니다"
@user-ku8fd9kz4i,저 진짜 민감성 피부라서 무기자차 유기자차 할거 없이 선크림만 바르면 뭐가 나서 선크림 바를 엄두도 못내고 모자나 양산같은걸로 자외선 차단 힘들게 하던 중이였는데 투명한 선세럼이라니 진짜 좋아보여요 ㅠㅠㅠㅠㅠ이런거 만들어주셔서 감사합니다 4개 세트로 구매……
@bjhtiger011,속는 셈 치고 한번만 믿어 보라는 말에 꼭 사야겠다는 생각이 들어서 주문합니다 꼭 기대 이상이었으면 좋겠네요^^
@user-wz2uw2ux5m,"하나사서 배송오자마자 써보고
바로 4개구매했어요
바르니까 얼굴이 시원하고
촉촉하기까지해요
역시 심톨님 믿고 네개사세요 여러분!!!
누가이게 자외선차단화장품인줄알겠어요?
넘좋네요ㅜㅜ"
@eunnoo00,"헉 선세럼이라니 기획이 신박해서 홀린듯이 들어왔어요! 
전 건성이라 촉촉한 쿠션 바를때만 무기자차를 사용하고 그외엔 늘 유기자차를 사용해요 근데 유기자차 특유의 눈시림뿐만 아니라 왠지 모를 피부의 화함과 답답함을 느껴왔어요 그치만 나름 순하다는 제품을 사용중이기도 하고 이정도는 선크림 특유의 어쩔 수 없는 사용감리라 생각하고 버텨왔는데 수딩젤제형의 선세럼이라니...! 너무 기대돼요! 이런 가벼운 사용감의 제품을 기다려왔습니다
또 요즘 여름이고 하니 매트한 쿠션을 사용하기 시작해서 화장할때도 화장할때도 다시 개시했는데 기초까지 되는 선크림??? 바쁜아침 시간압축템은 늘 꿀이죠!!"
@__ouo__7,"이게 상상만하던 불편하지 않을 선크림 아닐까싶어요🥹🥹 사바사지만 다들 좋다던 순한 선크림썼다가 얼굴 너무 따가워서 바로 세수한 경험 이후로 선크림도 쉽게 못고르겠더라구요 또 괜찮다싶은 제품 써도 결국에 눈시림에 혼자 우는 사람되고 시간차유분 올라와서 화장 지저분하게 무너지구 오늘 새삼 톨님 현실나이공격받고 결국 믿고삽니다
 좋은제품 만들어주셔서 감사합니당
️"
@hellolu328,"남편과 같이 사용할라고 4개구성 당장주뮨했어요! 가뵵게 발리는 선세럼 다른 브랜드 사용중인데 묘하게 맘에 안들어서 고민했는데 심톨님 참여한 제품 딱 나와서 너무 좋아요
 남편과 같이쓸수있을만큼 흡수잘되고 촉촉하길 >,< 기대중입니당 흐흐"
@user-my7fb1px9e,"오늘 오전에 배송 받아서 써보고 후기 바로 남겨요.. 그냥 최고 >_<
선크림만 발랏다하면 메컵 다 밀리고 피부 더러워지는 사람인데 지금 8시인데도 짱짱해요ㅠㅠ 제형잡느라 고생하셨단게 이해되는..
더 쟁이러 갑니당"
@koi_coi,"진짜... 항상. 선크림만 정착 못 하고 집에 열 통도 넘게 있어요. 트러블 있고, 극극극극 민감성 개복치 피부라 진짜 선크림 발라야 하는 건 알고 있어도 흐린 눈 했거등요... 성분 하나하나 다 따져서 사도 트러블 올라오고, 뭉치고... 안 그래도 지금 피부 뒤집어져서 우울한 상태였는데 심톨 님 영상 보고 구매하려구용. 정말 순하게 잘 맞았으면 좋겠어요! 좋은 제품 만들어 주셔서 감사해요. (간증후기써올수잇기를빌어주새요.plz...)"
@jiyeonjeong9333,"심톨언니!! 델피어 선세럼 출시 정말 축하드립니다!!
아니,, 제가 이런 제품 찾고 있는건 또 어떻게 아시구 ㅠㅠ 저 선크림 발라야하는건 알지만 텁텁한 제형때문에 도저히 목, 팔, 다리는 못바르겠어서 그냥 다니고 있었는데 언니 덕분에 이제 자외선 차단 가능할거같아요!! 바로 4개 세트 구매완료 했습니다
델피어 아쿠아 테카 카밍 선세럼에 대한 저의 기대평은,
 1. 세럼 제형이라 손쉽게 바르고 또 자주 덧발라 확실히 자외선 차단을 할 수 있을거란 기대가 있습니다! 그동안 기존의 선크림들의 텁텁한 제형으로 선뜻 손이 가지 않았는데, 이젠 보다 부담없이 선세럼을 발라 자외선 차단을 일상화할 수 있을거 같아요! 그냥 로션바르기는 언제나 할 수 있는건데 선세럼은 로션바르는 느낌이라 부담없이 사용할 거 같습니당!
 2. 좋은 성분으로 피부 트러블걱정 없이 사용가능 하다는 기대가 있습니다! 제가 요즘 날이 더워져서 그런지 트러블이 올라오고 있었는데 진정성분인 병풀의 4가지 주요성분들이 포함되어 있어 피부 진정도 하고 자외선 차단도 하고! 너무 좋을거 같아요 ㅎㅎ
 3. 자외선 차단도 하면서 메이크업도 할 수 있다는 점이 기대됩니다! 제가 메이크업이 엄청 밀리는 편이라 화장하는 날엔 사실,, 자외선차단 포기하고 따로 썬크림은 안바르고 메이크업했는데 이젠 자외선차단을 포기할 일이 없어질거 같아 정말 기대중입니다!! 

자외선 차단 중요성은 정말 많이 들어왔지만 막상 선크림의 찝찝함에 실천은 어려웠는데 심톨님 덕분에 이제 자외선 차단 확실히 할 수 있을거 같아요 ㅎㅎ

제 롤모델이신 심톨님
 
저 언니 덕분에 클랍, 케드마, 베리시, 키에라, 스팀베이스 단골손님 됐구, 언니의 괄사루틴까지 알차게 따라하고 있는 정말 언니 팬 그자체 심쿵이에요,,
 언니를 알게된 이후 제자신을 좀 더 아껴주게 된거 같아요 ㅎㅎ 이 기회를 통해 갑분 고백합니다 ㅎㅎ

제가 심톨님을 알게돼서 행복한만큼 심톨님도 늘 행복하시길 바랍니다!! 
 감사해요!!! "
@guguguggi3515,4개 샀어요ㅎㅎ 더 많은 용량으로 더 싸게 나왔으면 좋겠어요ㅜㅜ
@onsung3337,"선크림 바르면 뭔가 트러블도 많이 나고..갑갑해서..바르면서도 뭔가 마음이 편치 않더라고요.
카밍선세럼이라니 심톨님 믿고 잘 쓸 수 있을 것 같아요~~
저도 피부가 예민해서 넘 좋을 것 같은데요?!!
처음보는 브랜드 이긴 하지만 심톨님이랑 잘 어울리는것 같기도 하구요.
정성가득한 제품이라는게 눈에 확 보이는것 같아용.
좋은 원료가 들어간 화장품은 쓰다보면 더 느껴지는것 같아요.
투명한 선세럼은 처음 보는데 넘. 신기하구
끈적임도 없어서 잘 바를수 있을 것 같아요
진짜 어디서 본적 없는 선크림
성분도 말해뭐해. 너무 좋구요
캡슐성분도 신기하구요.
눈시림도 없어서 너무 좋아요
광도 나니 그냥 선크림의 기능을 넘어선 제품인것 같아 좋아요^~"
@eppi_eg,신생아 키우고 있을때도 발라도 괜찮을까요~? 애기 안고 있으면 애기한테도 닿일 것 같아서요 ㅎㅎ
@user-pj6vd3mc8l,"일단 구매하고 시작!! 백화점 브랜드부터 유명하다는 선크림 다 써봤는데 매번 트러블 나서 피부과에 돈 더 들어간 민감성트러블수부지 피부로서…. 이번에도 떨리지만 언니 믿고 구매했어욤
 요 선세럼이 제 정착템이 되었으면ㅠㅠ!!"
@user-kz2li9xc2x,"크림까지 다 바른 후, 세럼제형의 선크림 발라도 제형충돌(?) 없을까요? 크림 발라도 맨들맨들한데 다시 세럼제형을 바르면 이상하게 섞이지 않을까 걱정되서요!"
@user46768,선크림 바를 때 듬뿍 발라야하는걸 알지만 뻑뻑하거나 건조하거나 유분이 너무 많거나 백탁이 있는 선크림들에 많이 발라지지가 않았어요. 안그래도 올 여름은 역대급 더울거 같다는 소식에 벌써 선크림 바르기 싫겠다라고 걱정하고 있었는데 선세럼 출시소식에 바로 주문했어요!
@guriguri_bangbang,심톨님 영상 정말 자주 봤었는데 그래서 기대가 되는데 가격이 정말 조금 부담스럽긴하네요ㅜㅜ 이벤트 참여 해보고 좋은 기회로 혹시 당첨되면 써보고 구매해서 써볼까봐요..🩷
@limlim4113,"전 진짜… 무조건 수분 선크림만 고집하는 사람입니다ㅠ 그래도 선크림 특유의 무거움과 유분감이 있더라고요 그래서 한여름이 되면 화장 전, 선크림 바르기 넘 싫었지만ㅠㅠ 피부보호 때문에 울며겨자먹기로 발랐어요.. 또 민감성이라 트러블에도 신경쓰는데 성분이 좋다고해서 구매해봤어용 두가지 다 적합한 자외선차단 제품이 나오다니.. 기대중이에요!!!"
@lyesuxz,"드디어 선크림이 출시 되는군요!! 인스타로 소식 접했을때는 마냥 궁금햇는데 이제는 쟁여야하는구나 
 심톨 언니가 만든건 믿어요 신뢰가 간달까? 선크림을 토니*,에* 등등 여러 로드샵 제품을 써봤었는데요 뭔가 5% 부족한 느낌? 이였어요 무기자차만 써봐서 유기자차는 어떤 느낌일지 모르지만 기본적으로 백탁 현상이 없는 선크림을 찾기가 어려웠어요 그리고 가볍다고 광고를 하지만 막상 내 얼굴에 올리면 좀 무겁게 느껴지는 느낌? 발랐을때 얼굴이 하얗게 되는 부분도
 원래 얼굴이 하얀편인데 더 하얗게 되면 귀신이 따로 없더라고요 ㅋㅋㅋ ㅠㅠㅠ 그러니 500원 동전만큼 어떻게 바르겠어요 그냥 마스크 쓰고 다녔던것 같아요 근데 언니는 저의 구세주인가요 어쩜 이런 제형을 가진 선크림을 출시하는지…감사해요..
 하얀 국물이 이제는 흐를 일이 없겠네요 ㅠㅠ 매번 옷에 하얀색이 묻었거든요 이것도 짜증났는데 이제는 그럴 일이 없을 것 같아서 너무 좋아요 ㅠㅠ"
@user-xz8ep9zr1l,언니 평소보다 목소리가 되게 진중하게 말하셔서 얼마나 이 선크림에 진심인지 느껴져요! 저도 선크림 항상 유목민이라서 써보고 싶어요...! 정착하고 싶습니다...ㅠㅠ
@user-pd7yf1bq3v,"제 피부가 지성피부라 이때까지 썻던 썬크림은 무겁고 답답해서 지우고나면 트러블이 하나씩 올라왔어요ㅠㅠ 그렇다고 안바를수도 없으니까 바르면서도 더 가볍고 순한 썬크림이 없을까하고 계속 찾던중에!! 자주보는 심톨님 영상에 썬세럼이라는 단어를 보고서는 ""내가 왜 이런 생각을 하지 못했을까?""라는 생각을 하게 되면서 당장 구매해야겠다는 생각을 하게 됬습니다!!
심톨님 영상을 보고 나서 저 같은 지성이나 답답한거 싫어하고 특히 여름에 막 발라야하는 계절에 그냥 수분세럼 얹듯이 살짝만 발라주면 피부에 삭 스며드는 게 너무 간편하고 바르고 난 후 코팅되듯 발려지는게 너무 큰 메리트같아요ㅠㅠ
그리고 썬크림 바르면 여드름이나 트러블 올라오시는 분들 이거 바르면 대대대혁명템ㅠㅠ구원템이라고 불러야 할까요?ㅠㅠ
얼른 사서 써보고싶어요!! 맨날 썬크림 유목민 이었는데 정착템 될것같은 느낌적인 느낌
알려주신 심톨님께 너무 감사하구 이걸 보게된 나 자신 칭찬해🥹
여러분도 꼭 써보세요!!"
@user-zl1zb7cq2s,"지금까지 본 선크림 중에 제일 수분기 있고 바르기 쉬운 선크림 같아요!!! 평소에 선크림 바를때 화장 밀릴까봐 신경쓰여서 조심조심 바르느라 바쁜 아침에 시간도 많이 소모되고, 밖에 나가면 결국 화장이 뜨더라구요...ㅠㅠ 이거 한번 사면 밖에서도 덧바르기 편해서 계속 쟁이고 쓸것같아요!! 완전 혁명템 이네요!!"
@shp3931,"안녕하세요 심톨님!! 
요즘 여드름 관련 선크림 찾아보다가 알고리즘으로 타고 타고온 새로운 구독자 심쿵입니다
우선 썸네일에 여드름안나는선크림이라고 말씀해주셔서 신뢰100%로 영상 보고 바로 구입했어요
저는 코로나 마스크착용으로 여드름이 생겨서 조금 여드름이 호전되는 듯하다가 다시 심해지는 피부를 얻어서 아직까지 이런상태가 반복이 되는 상태이고요 여드름피부는 무조건 무기자차로 써야한다고 하기도하고 유기자차는 여드름을 더 유발하기도 한다고 해 무기자차를 구입해서 사용해보았더니 omg 백탁적다는 설명을 보았지만 하얗게 둥둥 뜨고, 발림성부터... 은은한 화장밀림까지 도저히 못 사용하겠어서 다시 유기자차로 넘어왔는데 여드름 걱정도 되지만 최근에 직장을 그만두고 공부를 시작하면서 갑자기 눈이 급격히 안좋아지더니 눈시림이 생겨버리는 것이에요
 

영상을 보니 제 니즈를 완전 파악해버린 이 선크림 구매를 안할 수가 없었어요!! 여드름 더 안나게 해주고 눈시림만 없어도 땡큐입니다 신기한 원리라서 너무너무 기대되고 알갱이라서 바를 때 터트리느라 힘들지 않을까 했는데 나오면서 적당히 뭉개져서 나오게 한다는 것도 섬세한 부분인 것 같고 기초제품같은 느낌이라서 너무너무 기대되어요 배송 기다리는 중인데 빨리 사용해보고 싶습니다🫶🫶
영상에 진심이 막 느껴져서 구독을 안할 수가 없었어요 좋은 제품 만들어주셔서 미리감사드립니다
️"
@jinnneyk4224,"선크림 유목민이에요! 
지난번에 어떤 유튜버가 만든 톤업 선크림 톤업기능과 촉촉함이 좋다고 해서 구매했는데 건조함 그자체 ㅠㅠㅠㅠ 촉촉한거 아무거나 쓰다보니 눈시림에 고통받고 있어요 
선크림의 지옥 굴레에서 벗어나고 싶어요! 촉촉함과 자외선 차단 기능만 있어도 되는데 주름개선까지..!!! 30대 중반인 저에게 가장 필요한 제품 같아서 꼭 써보고싶네요
 구해주세요 헬프미!"
@user-qd7fz3rf8z,"선세럼이라니요
선크림 없인 외출안하는 사람으로써 !! 유분기에 기름지면서 번들거림도 싫고 퍽퍽해서 하얗게백탁현상있으면 눈시린 선크림도 싫었는데 이런 단점들 보안된 것같아 정말 기대되요 
심톨님 믿고 4개구매해서 5000원 할인받아 기다려봅니다 "
@user-jd3rc6uf5t,"저 29년째 선크림 안바르고 살다가 30살 기념으로 이젠 발라야겠다 싶어서 갓입문했습니다,, 그간 선크림 발랐다하면 (건성임에도) 개기름 둥둥뜨고, 알 수 없는 톤업에, 땀 나면 흰 국물 뚝뚝… 진짜 이래서 안발랐었는데..하면서 또 포기하려던 찰나에!!!! 

속는셈치고 자기전에 유튜브에 선크림 검색했는데 내리자마자 썸네일에 있는 영롱한 에메랄드 색 선크림에 홀린듯이 눌렀어요! 몇개월전 몇년전 영상이겠거니 했는데 3시간전???

영상보는 내내 정말 제가 원하던 선크림이다 싶었어요! 크림과 로션 제형이 아닌 세럼제형인데다가 선케어도 이제는 스킨케어의 일환으로 전혀 부담없이 자연스럽게 쓸 수 있다니요!!
 저 정말 뷰티 유튜브에 댓글 처음 남겨보는데요… 

일단 하나 질렀습니다..! 혹시나 또 안맞을까봐서요! 근데 이번엔 느낌이 좋아요.. 
댓글 다 쓰고 구독도 할거에여… 이 영상 보게된건 신의계시인것임! 
제가 원하던 제품 만들어주셔서 감사합니다"
@socoolsummer,"앗 얼마전에 영상에서 투명 선크림 개발중이라고 스포하신 거 보고 ""그게 화학적으로 가능한가...?"" 싶었는데 어머나 세상에 벌써 실현하셨네요!!
1. 저 악건성이어서 촉촉이 제형 완전 반가워요~ 여름에 건조는 잡으면서 느끼하지 않은 기초를 늘 찾아다녔는데 요기에 있넹
2. 위장크림 바르듯이 자외선차단기능 보여주시는거 보고 완전 깜놀했어요
 근데 혹시 물 닿으면 쉽게 씻겨내려가는 제형인지 좀 궁금합니당! (여름엔 땀도 나고 수영장도 가고 해서욥
)
3. 산뜻하고 촉촉하게 몸에도 발라주면 너무너무 좋을 것 같은데 가격 생각하면 초큼 멈칫할 것 같아요ㅋㅋ 고오급 원료는 얼굴에 양보해야쥬 내 얼굴 좋은거 다 해
이렇게 참신하고 궁금하고 그러면서 또 믿음이 가는 선세럼 개발해주셔서 감사해요! 알람 맞춰뒀으니 몇개 살지 행복한 고민만 남았다구욥"
@user-ju4wi9dz2b,"처음보는 선세럼 제형
피부관리에 관심이 가기 시작한 고등학생때부터 진짜 순하다는 선크림은 10년동안 안발라본게 없는 진짜 예민보스 개복치 피부입니다
이번에는 제형과 순한 성분으로 재구매템이 될거라 믿고 3개나 구매했어요"
@user-jy6mk9lf7j,"선크림 특유의 하얗고 텁텁한 느낌이 싫었고 눈시림 때문에 유기자차도 별로고 백탁 때문에 무기자차도 별로라고 생각해서 선크림 유목민이었는데 델피어 아쿠아 테카 카밍 선 세럼은 세럼이라는 이름답게 촉촉해보이고 백탁도 없고 제형이 굉장히 가벼워 보여서 기대되네요
︎"
@user-yy9lp1od6r,저 이미 펌프식 에센스같은 보호크림느낌에 폭빠져서 구매해서 받았어요 근데 사용감 너무 좋아서 주변사람들에게 선물하려구 추가구입합니다 에센스같은 느낌인데 몽글하고 선크림이라니 정말 대애박적
@jialazi4322,화장하는 고3 남학생입니다 !! 평소에 메이크업을 할 때 선크림을 발라야 된다고 해서 바르고 메이크업을 하면 답답하고 잘 뜨기도 해서 아직도 선크림 유목민인데요 ㅜ 방금 전에 알고리즘에 심톨님 영상 보고서 선크림이 너무 궁금해졌어요 당첨이 안되더라도 용돈 받으면 써볼 것 같아요!! 
@user-et7kh5ky8o,"아토피 건성 예민성피부라 순하다고 소문난 선크림 여러개 사서 써봐도 눈시림, 열감, 뾰루지, 답답함 꼭 하나씩은 이래서 그냥 양산에 쿨토시 쓰고 다녔거든요 근데 병풀 원료에 세럼제형이라고 하니까 기대되요 거기다 믿고 사는 심톨이라ㅎㅎ 대박나세요"
@user-bw4bd8qg8w,투명선세럼 너무 좋은데요?? 선크림이 진짜 진짜 중요한데 좋은 걸 써야 꾸준하게 쓰게 되더라구요. 답답한 거 싫어하는 사람인데 항상 선크림이 답답하더라구요ㅠㅠㅠ 근데 안 끈적이고 답답하지도 않고 메이크업 전에 발라도 좋은 제형인게 진짜 미쳤습니다... 게다가 성분도 진짜 좋고 선크림의 기본인 자외선 차단도 잘 해주는 선세럼은 최고에요. 유분 안 올라오고 여드름 잘 나는 개복치 피부인데 믿고 사용 가능
@lovelykim7938,햇빛 알러지가 있는데 피부가 엄청 민감한 개복치라서 자외선 차단제 정말 중요해요.. 근데 문제는 티타늄디옥사이드가 안 맞아서 무기자차 싹 다 거의 다 못 쓰고.. 베이스도 쓸 수 있는 게 제한적이고... 유기자차도 눈 시림 피부 따가움 등의 이슈로 완전 유목민이에요... 지푸라기 잡는 심정으로 이건 과연 맞을까 싶네요(˃̵͈᷄⌓˂̵͈᷅)
@user-dg2bh9xd1t,"제 피부는 예민하진 않은데, 선크림만 바르면 화장이 밀리고, 더럽게 무너져서 선크림 평생 유목민이거든요 ㅠ 차라리 선크림을 포기하고 사는 사람인데, 심톨님 믿고 한번 구매해보겠습니다. 제발 성공하고싶어요... 선크림 바르는게 스트레스인 사람이라 ㅜㅠ 오늘도 새로운 선크림바르고 나갔다가 화장 더럽게 엉키고 무너져서  곤란했었는데 ㅠ 제발 제발 잘 맞으면 좋겠어요!"
@user-id8gp1it1j,"요즘 낮 기온이 엄청 올라가면서 햇볕이 장난아닌데..! 자외선으로 인한 피부 노화가 걱정되는 나에게  선케어 제품 추천영상이라니 .. 완전 럭키비키자나
 평소에 저는 수부지 타입에 새미매트 ~ 매트한 피부표현을 좋아하는데요 끈적한 마무리감은 극혐이고 메이크업에 방해주지 않는 산뜻한 마무리감을 좋아하는데요 그래서 선크림도 선세럼과 같이 가벼운 제형을 선호하는데요 델피아 아쿠아 테카 카밍 선세럼 보자마자 패키지 디자인도 너무 예쁘고 핸디한 사이즈라 부피 차지 크게 하지 않아서 들고 다니기 좋을 것 같아요 선세럼 제형도 주르륵 흐르지 않는데 묽어서 피부에 펴발라 흡수하기 진짜 편해보여요 히알루론산이 들어가 있어서 촉촉하고 열진정 쿨링 기능까지 느껴볼수있을것 같아요 햇빛 때문에 달아오른 피부에 최고인 선제품인거 같아요! 올 여름 델피아 아쿠아 테카 카밍 선세럼으로 끈적임 답답함 없이 불쾌함 없이 산뜻하게 여름 보내고싶습니다
🫶"
@user-ip8xz1ob6k,선크림 중요한걸 알지만 선크림의 제형감과 발림성 백탁 진짜 너무 싫어해서 안바르다가 기미 잡티 하나둘 생기면서 바르기 시작한지 3년 된거 같네요. 항상 선크림 바르면서 느끼는건 왜 세럼처럼 발림성과 흡수력도 좋고 색상도 투명하게 못하는 걸까 생각햇었는데 영상보고 바로 구매했습니다. 저는 지성피부라 더 이런생각을 한거 같네요. 선크림도 스킨케어 제품처럼 막 바를 수 있게 만들어진 제품인거 같아 기대 됩니다. 빨리 사용해보고 싶네요!
@pooh2300,"피부 예민한분들도 사용한다는 무기자차 유기자차 혼합자차 안써본 썬크림이 없는데, 무기자차는 너무 무겁고 피부에 자꾸 뾰루지가 올라오고, 유기자차는 눈시림, 혼합자차는 시간지나면 기름이 올라오는 등등 각각 장단점이 있어서 정착하지못한 썬크림 유목민입니다
영상에서 제형이 수분감이 보이는게 너무 기대되네요! 이런 제형 진짜 처음봐요 성분이 좋다고해서 저의 정착템이 되길바라면서 바로 구매했습니다
제품 빨리사용해보고싶네요"
@gimmelau,"와우
 전 그냥 조용히 영상만 보던 사람인데 마침 새로운 제형의 선세럼 게다가 성분에 원료까지 확실한 제품이라니요! 사실 요새 유투버분들 콜라보 작업 선크림이 많이나와서 마켓으로 이것저것 사서 써보고있었는데, 톤업선크림 위주였거든요. 저는 파데를 안쓰고 톤업크림을 쓰는편인데 톤업선크림 오백원만큼+톤업크림 콜라보 하면 흡수시키는데만 몇십분이 걸리는 대환장 파티가 돼요
 사실 유기자차 써왔던 이유가 무기자차는 눈시림이 비교적 있고 피부에 흡수되어 화학적으로 차단을 해주는데 있어 피부건강에 나쁠것같아 선택했었던건데 심톨님이 비싼원료 아끼지않고 팍팍 넣었다하니 이건 진짜 쟁여템이구나
 이렇게 성분과 원료를 강조한 썬제품은 뷰티군에 처음인거같아요🫢 지금 썬크림 잔뜩 있는데 톤업+흡수지옥을 탈출하고자 기존에 있는 크림들은 바디에 바르고 요걸 얼굴에 발라보고싶네요. 토출구에서 캡슐이 살짝 뭉게져서 나온다니 이런 디테일은 진짜 소위 백화점 명품브랜드 급인데..대단하셔요
 정말 기대되는 제형이네요 얼른 발라보고싶어요!!"
@user-qn2os7ws9h,"먼저 선세럼 런칭 축하드립니다
시중에 나와있는 선크림은 ""크림""제형이다보니 피부에 스며드는 느낌보다는 피부위에 겉도는 느낌이 강했고 선크림을 가장 많이 사용하는 계절인 여름에는 땀과 섞여 끈적임까지 더해 사용할때도, 사용하고나서도 거부감이 들었습니다. 선스프레이인경우 분사하는 과정에서 스프레이가 기관지에 들어갈 수 있어서 기피했고.
이번에 심톨님이 제작하신건 ""세럼"" 형식이라서 사용감은 물론 백탁현상, 무너짐현상 등 자외선 차단제품에서 흔히 나오는 문제점이 많이 개선될거 같아 너무 기대됩니다
나오자마자 바로 구매했습니다!! 다른 제품들도 많이 개발해주세요🫶🫶
️"
@user-sb6qu8jf4x,저는 복합성이고 요즘따라 입가에 건조해서 껍질같이 올라오는 편이에요 며칠 전에 날이 너무 뜨거워서 집에 있는 아무 선크림을 바르고 외출했는데.. 세상에나 입가에 완전 떠버린 거에요 진짜 너무 충격 받아서 유튜브에 선크림 추천 선크림 리뷰 영상들 많이 찾아봤는데 다 촉촉해 보이긴 하나.. 또 내가 바르면 뜨겠지.. 싶은 생각에 그냥 선크림 바르는 걸 포기해야하나 싶었는데 때마침 이 영상을 봤어요 투명 선크림…? 제목에 홀린듯이 눌리고 스킵 하나도 안 하고 봤는데 이 선크림이라면 내가 발라도 안 뜨겠다.. 싶었어요 진짜 꼭 써보고싶어요!!ㅠㅠ
@slslslsl11,"처음 보는 류의 선크림인거 같아 이건 사야지 싶어서 믿고 바로 구매버튼 눌렀습니다!!!ㅎㅎ
제 피부가 수부지,민감성인데 유기자차 사용하면 겉도는 느낌에 유분은 금방 올라오고 무기자차는 발림성 뻑뻑해서 피부 붉어지고 거기에 백탁은 피부를 더 칙칙해보이고 지저분,,, 무엇보다 트러블 모공끼임 난리난리 나는뎅 하하,,, 선크림 중요성은 너무나도 알지만 손이 안가더라구요ㅠㅠㅠ
수분 가득 초록초록한 제형만 봐도 촉촉하게 피부에 잘 발릴거 같고 거기에 자외선 잘 가려준다니 안 살 이유가 없겠더라구요!!!! 너무 기대됩니다ㅎㅎㅎㅎ"
@user-kz6hg3yi3t,새로나온제품 확신없어 구입안하는데  제형이 너무 마음에들어서 바로 구입했어요. 제가 올인원 +투명 타입 선크림 몇년간 브랜드며 수입제품 다 찾아다녔는데 맘에드는 제품 못찾았거든요. 배송와서 써보고 4개추가주문했어요.향예민한데 무난하고 특히 발림성너무 좋아서 마음에들어요.  그동안 선크림 기름짐때문에 바르기 싫었는데 작은사이즈라 습관처럼 바르려고 가방에 넣어놨어요. 아쉬운건 사이즈가 작아 큰사이즈 만들어주시면 집에놓고 넉넉하게쓰고싶어요.
@user-dz3bk6cp7r,기존 선크림은 바를 때 끈적거리고 바른 후에는 또 화장이 잘뜨고 해서 바르기 꺼려졌었고 시간 지나면 번들거려서 불편했는데 델피어 선크림은 발림성도 좋고 안끈적거리고 화장 밀착력도 높여주고 4통이나 쟁였어요 언니!!!! 구독 이벤트 참여할게요
@ainyou6643,최고다
